Player,Team,Age,Height (cm),Weight (kg),Stick
Nick Abruzzese,Toronto,22,178,79,left
Noel Acciari,Florida,30,178,95,right
Sebastian Aho,NY Islanders,26,177,83,left
Sebastian Aho,Carolina,24,183,80,left
Jake Allen,Montreal,31,188,86,left
Michael Amadio,Vegas,25,188,93,right
Frederik Andersen,Carolina,32,193,107,left
Craig Anderson,Buffalo,40,187,84,left
Mikey Anderson,Los Angeles,22,183,88,left
Josh Anderson,Montreal,27,191,100,right
Rasmus Andersson,Calgary,25,184,96,right
Lias Andersson,Los Angeles,23,185,86,left
Mason Appleton,Winnipeg,26,188,88,right
Josh Archibald,Edmonton,29,180,80,right
Joel Armia,Montreal,28,192,97,right
Viktor Arvidsson,Los Angeles,29,175,82,right
Rasmus Asplund,Buffalo,24,180,87,left
Zach Aston-Reese,Anaheim,27,183,93,left
Andreas Athanasiou,Los Angeles,27,188,85,left
Cam Atkinson,Philadelphia,32,174,79,right
Ronnie Attard,Philadelphia,23,191,94,right
Nicolas Aubé-Kubel,Colorado,25,180,85,right
Mikael Backlund,Calgary,33,183,90,left
Josh Bailey,NY Islanders,32,184,92,left
Rudolfs Balcers,San Jose,25,180,82,left
Aleksandr Barabanov,San Jose,27,179,87,left
Ivan Barbašov,St. Louis,26,183,85,left
Aleksander Barkov,Florida,26,191,97,left
Tyson Barrie,Edmonton,30,178,89,right
Mathew Barzal,NY Islanders,24,183,86,right
Nathan Bastian,New Jersey,24,193,94,right
Drake Batherson,Ottawa,24,190,94,right
Gavin Bayreuther,Columbus,27,185,88,left
Jay Beagle,Arizona,36,191,95,right
Jake Bean,Columbus,23,185,82,left
Ethan Bear,Carolina,24,181,89,right
Nathan Beaulieu,Pittsburgh,29,187,91,left
Anthony Beauvillier,NY Islanders,24,179,82,left
Pierre-Édouard Bellemare,Tampa Bay,37,182,89,left
Kieffer Bellows,NY Islanders,23,185,88,left
Emil Bemström,Columbus,22,179,86,right
Matty Beniers,Seattle,19,188,79,left
Jamie Benn,Dallas,32,188,95,left
Jordie Benn,Minnesota,34,188,90,left
Sam Bennett,Florida,25,185,88,left
Matt Benning,Nashville,27,185,93,right
Simon Benoît,Anaheim,23,191,92,left
Patrice Bergeron,Boston,36,184,89,right
Jonathan Bernier,New Jersey,33,182,84,left
Tyler Bertuzzi,Detroit,27,184,90,left
Jordan Binnington,St. Louis,28,185,79,left
Anders Bjork,Buffalo,25,183,89,left
Oliver Bjorkstrand,Columbus,27,183,80,right
Nick Bjugstad,Minnesota,29,196,98,right
Tobias Björnfot,Los Angeles,21,184,92,left
Colin Blackwell,Toronto,29,175,86,right
Mackenzie Blackwood,New Jersey,25,193,102,left
Samuel Blais,NY Rangers,25,188,93,left
Nick Blankenburg,Columbus,23,175,79,right
Anton Blidh,Boston,27,183,91,left
Teodors Blugers,Pittsburgh,27,183,84,left
Matěj Blümel,Dallas,22,183,90,left
Sergei Bobrovski,Florida,33,188,83,left
Brock Boeser,Vancouver,25,185,94,right
Zach Bogosian,Tampa Bay,31,189,91,right
Matt Boldy,Minnesota,21,188,91,left
Nick Bonino,San Jose,34,185,89,left
Adam Boqvist,Columbus,21,183,84,right
Jesper Boqvist,New Jersey,23,182,82,left
Thomas Bordeleau,San Jose,20,180,82,left
Will Borgen,Seattle,25,191,94,right
Henrik Borgström,Chicago,24,191,90,left
Mark Borowiecki,Nashville,32,186,94,left
Robert Bortuzzo,St. Louis,33,193,98,right
Evan Bouchard,Edmonton,22,191,90,right
Travis Boyd,Arizona,28,183,86,right
Brian Boyle,Pittsburgh,37,199,112,left
